case_id,painting_id,mask_id,mask_type,category,title,opencv_telea_clip_improvement,opencv_telea_dinov2_improvement,lama_clip_improvement,lama_dinov2_improvement,stable_diffusion_inpainting_clip_improvement,stable_diffusion_inpainting_dinov2_improvement,winner_clip_improvement,winner_dinov2_improvement
p025_loss_large,p025,p025_loss_large,loss_large,architecture_structured,The Quay de Paris in Rouen,0.0090869665145874,-0.0127785205841064,0.2144333124160766,0.0381814241409301,0.2034172415733337,-0.0833163261413574,lama,lama
p025_loss_small,p025,p025_loss_small,loss_small,architecture_structured,The Quay de Paris in Rouen,0.1459298729896545,0.0207475423812866,0.1723048090934753,0.0620078444480896,0.1477423310279846,-0.0008354783058166,lama,lama
p025_mixed_damage,p025,p025_mixed_damage,mixed_damage,architecture_structured,The Quay de Paris in Rouen,0.1706413030624389,0.0630037784576416,0.1967939734458923,0.0941126942634582,0.1546518206596374,0.0277441143989563,lama,lama
p025_scratch_thin,p025,p025_scratch_thin,scratch_thin,architecture_structured,The Quay de Paris in Rouen,0.0935535430908203,0.0516281723976135,0.0933102369308471,0.0517579913139343,0.0362446308135986,-0.0098198056221008,opencv_telea,lama
p026_loss_large,p026,p026_loss_large,loss_large,architecture_structured,View of a Village along a River,0.0645032525062561,-0.2790506780147552,0.2005666494369506,0.1960152387619018,0.1421346664428711,0.1255364418029785,lama,lama
p026_loss_small,p026,p026_loss_small,loss_small,architecture_structured,View of a Village along a River,0.1760314106941223,0.0006470680236816,0.1787887811660766,0.034255564212799,0.1198295354843139,-0.0609058737754821,lama,lama
p026_mixed_damage,p026,p026_mixed_damage,mixed_damage,architecture_structured,View of a Village along a River,0.1180219650268554,0.1827126145362854,0.1283576488494873,0.2432126402854919,0.0676639676094055,0.1085870265960693,lama,lama
p026_scratch_thin,p026,p026_scratch_thin,scratch_thin,architecture_structured,View of a Village along a River,0.1009314656257629,0.1488555669784546,0.1013758182525634,0.1482743620872497,0.0497865080833435,0.0268035531044006,lama,opencv_telea
p027_loss_large,p027,p027_loss_large,loss_large,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.0781604051589965,-0.1730008721351623,0.2212239503860473,0.2233042120933532,0.1403659582138061,0.0868879556655883,lama,lama
p027_loss_small,p027,p027_loss_small,loss_small,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.1616478562355041,0.0619608163833618,0.1642454266548156,0.1013545989990234,0.1378035545349121,0.0292200446128845,lama,lama
p027_mixed_damage,p027,p027_mixed_damage,mixed_damage,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.1778886318206787,0.3448265790939331,0.2176964879035949,0.4209432601928711,0.1747500896453857,0.1278715133666992,lama,lama
p027_scratch_thin,p027,p027_scratch_thin,scratch_thin,architecture_structured,Italian Landscape with the Ponte Lucano over the Aniene River,0.1003718376159668,0.2465217113494873,0.1008644104003906,0.2446109056472778,0.0667045712471008,0.0285481214523315,lama,opencv_telea
p028_loss_large,p028,p028_loss_large,loss_large,architecture_structured,Trading posts of the Dutch East India Company (VOC),-0.0405097007751464,-0.1331629157066345,0.1140768527984619,0.011565625667572,0.01669842004776,-0.2702480554580688,lama,lama
p028_loss_small,p028,p028_loss_small,loss_small,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.13247811794281,0.0139755606651306,0.1372544765472412,0.0368198752403259,0.0708010196685791,-0.0634970664978027,lama,lama
p028_mixed_damage,p028,p028_mixed_damage,mixed_damage,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.1354156732559204,0.1366775631904602,0.1493095755577087,0.1761588454246521,0.0124500393867492,0.0826451182365417,lama,lama
p028_scratch_thin,p028,p028_scratch_thin,scratch_thin,architecture_structured,Trading posts of the Dutch East India Company (VOC),0.1122224330902099,0.2400490641593933,0.1123124957084655,0.2399473190307617,-0.0369951725006103,0.1069899201393127,lama,opencv_telea
