original_case_id,case_id,painting_id,mask_id,mask_type,category,title,uncertainty_selection_role,seed_a,seed_b,seed_pair,lpips_net,lpips_target_size,bbox_margin,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,pairwise_lpips_distance
p018_loss_large,p018_loss_large,p018,p018_loss_large,loss_large,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,202,144,546,490,344,346,0.28369393944740295
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,145,663,592,663,447,0.0681830421090126
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,145,663,592,663,447,0.05528414249420166
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,145,663,592,663,447,0.07272111624479294
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,145,663,592,663,447,0.07002924382686615
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,145,663,592,663,447,0.09754204750061035
p018_loss_small,p018_loss_small,p018,p018_loss_small,loss_small,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,145,663,592,663,447,0.08188340812921524
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,114,768,653,768,539,0.07258066534996033
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,114,768,653,768,539,0.07469967752695084
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,114,768,653,768,539,0.07286261022090912
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,114,768,653,768,539,0.06120994687080383
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,114,768,653,768,539,0.049321822822093964
p018_mixed_damage,p018_mixed_damage,p018,p018_mixed_damage,mixed_damage,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,114,768,653,768,539,0.057712458074092865
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,0,116,768,653,768,537,0.04580524563789368
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,0,116,768,653,768,537,0.051072146743535995
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,0,116,768,653,768,537,0.02611193247139454
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,0,116,768,653,768,537,0.06273039430379868
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,0,116,768,653,768,537,0.04394259676337242
p018_scratch_thin,p018_scratch_thin,p018,p018_scratch_thin,scratch_thin,landscape_natural,Classical Landscape with Figures,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,0,116,768,653,768,537,0.04781339317560196
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,375,161,705,464,330,303,0.26211634278297424
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,375,161,705,464,330,303,0.26878467202186584
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,375,161,705,464,330,303,0.25976845622062683
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,375,161,705,464,330,303,0.2529038190841675
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,375,161,705,464,330,303,0.23317985236644745
p021_loss_large,p021_loss_large,p021,p021_loss_large,loss_large,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,375,161,705,464,330,303,0.2295132875442505
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,77,0,689,768,612,768,0.0280604250729084
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,77,0,689,768,612,768,0.026383280754089355
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2029,2026_2029,alex,256,16,77,0,689,768,612,768,0.028132330626249313
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2027,2028,2027_2028,alex,256,16,77,0,689,768,612,768,0.0253310464322567
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2027,2029,2027_2029,alex,256,16,77,0,689,768,612,768,0.0231374092400074
p021_loss_small,p021_loss_small,p021,p021_loss_small,loss_small,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2028,2029,2028_2029,alex,256,16,77,0,689,768,612,768,0.023597432300448418
p021_mixed_damage,p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2027,2026_2027,alex,256,16,43,0,724,768,681,768,0.08222466707229614
p021_mixed_damage,p021_mixed_damage,p021,p021_mixed_damage,mixed_damage,architecture_structured,Interior of the Oude Kerk in Delft,relatively_strong_stable_diffusion,2026,2028,2026_2028,alex,256,16,43,0,724,768,681,768,0.0662238821387291
