dataset_name,case_id,painting_id,mask_id,mask_type,category,model_name,full_pixel_count,masked_pixel_count,damaged_error_mean_full,restored_error_mean_full,improvement_mean_full,damaged_error_max_full,restored_error_max_full,improvement_min_full,improvement_max_full,damaged_error_mean_masked,restored_error_mean_masked,improvement_mean_masked,improvement_std_masked,negative_improvement_pixels_masked,positive_improvement_pixels_masked,zero_improvement_pixels_masked,negative_improvement_percentage_masked,positive_improvement_percentage_masked
canonical,p028_loss_small,p028,,,architecture_structured,opencv_telea,589824,16168,2.8288309574127197,0.2221035361289978,2.6067276000976562,215.6666717529297,130.3333282470703,0.0,202.0,103.19845581054688,8.102548599243164,95.09590911865234,30.578289031982422,0,16168,0,0.0,100.0
canonical,p028_mixed_damage,p028,,,architecture_structured,opencv_telea,589824,42118,8.866886138916016,0.9980244040489197,7.868862628936768,225.0,117.66666412353516,0.0,208.6666717529297,124.17262268066406,13.976415634155273,110.19621276855469,38.492252349853516,0,42118,0,0.0,100.0
canonical,p028_scratch_thin,p028,,,architecture_structured,opencv_telea,589824,6439,1.4304578304290771,0.054473306983709335,1.3759844303131104,223.6666717529297,51.33333206176758,0.0,215.0,131.0325164794922,4.989853858947754,126.04266357421875,42.43611526489258,0,6439,0,0.0,100.0
canonical,p028_zero_control,p028,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p029_loss_large,p029,,,architecture_structured,opencv_telea,589824,48057,11.65426254272461,1.6073073148727417,10.046957969665527,221.6666717529297,124.33333587646484,-61.66666793823242,202.66665649414062,143.03773498535156,19.72716522216797,123.31057739257812,28.92511558532715,83,47973,1,0.17271157167530224,99.82520756601535
canonical,p029_loss_small,p029,,,architecture_structured,opencv_telea,589824,14160,3.365086317062378,0.42794010043144226,2.9371461868286133,221.6666717529297,130.0,-72.66667175292969,214.0,140.17010498046875,17.825519561767578,122.34458923339844,49.53701400756836,400,13758,2,2.824858757062147,97.16101694915254
canonical,p029_mixed_damage,p029,,,architecture_structured,opencv_telea,589824,50750,12.366512298583984,1.3879719972610474,10.978537559509277,227.6666717529297,136.3333282470703,-57.666664123535156,214.3333282470703,143.72543334960938,16.1312198638916,127.59420776367188,34.67262268066406,92,50656,2,0.1812807881773399,99.81477832512316
canonical,p029_scratch_thin,p029,,,architecture_structured,opencv_telea,589824,6849,1.5316818952560425,0.0864800363779068,1.4452017545700073,224.3333282470703,131.0,-83.0,214.0,131.90577697753906,7.447510719299316,124.45825958251953,33.88446044921875,16,6832,1,0.23361074609432034,99.75178858227478
canonical,p029_zero_control,p029,,,architecture_structured,opencv_telea,589824,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,0,0,,
canonical,p030_loss_large,p030,,,architecture_structured,opencv_telea,589824,45666,13.434415817260742,1.5106323957443237,11.923783302307129,235.0,141.3333282470703,-74.00000762939453,224.66665649414062,173.5194854736328,19.511394500732422,154.00808715820312,32.87386703491211,322,45339,5,0.7051197827705514,99.28393115227959
