dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
synthetic_degradation,mask_bbox_crop,psnr_improvement,50,50,-7.584931585317166,-6.382678002668419,7.146799318332774,-30.041711302023202,0.0
canonical,full_image,ssim_improvement,250,250,0.0291923540249995,0.024896024654752547,0.023463133495147268,0.0,0.10090640853525157
canonical,content_region,ssim_improvement,250,250,0.037391182586462686,0.031078113492429005,0.030079701001036314,0.0,0.13256498190689847
canonical,masked_region,ssim_improvement,200,0,,,,,
canonical,boundary_region,ssim_improvement,200,0,,,,,
canonical,outside_mask_region,ssim_improvement,200,0,,,,,
canonical,mask_bbox_crop,ssim_improvement,200,200,0.07825277315810808,0.06467927038851173,0.053111846487734045,0.0080780243319436,0.37094944308832234
damage_size,full_image,ssim_improvement,35,35,0.02293924413035497,0.015310871659627079,0.021610501845624033,0.005054305152514704,0.10851889037194629
damage_size,content_region,ssim_improvement,35,35,0.029581344198107484,0.020836615993007457,0.024850163881950438,0.007113990496217304,0.12586209202956322
damage_size,masked_region,ssim_improvement,35,0,,,,,
damage_size,boundary_region,ssim_improvement,35,0,,,,,
damage_size,outside_mask_region,ssim_improvement,35,0,,,,,
damage_size,mask_bbox_crop,ssim_improvement,35,35,0.1917567771377562,0.1724273763025288,0.09112737566712413,0.07221602413758921,0.3910685715355549
mask_robustness,full_image,ssim_improvement,75,75,0.029479702752785594,0.02430734116221489,0.015236852708812039,0.006438419916218852,0.0686483492824832
mask_robustness,content_region,ssim_improvement,75,75,0.038478551898049225,0.035748343257347215,0.018112284727655508,0.008686652146198792,0.07961954665639581
mask_robustness,masked_region,ssim_improvement,75,0,,,,,
mask_robustness,boundary_region,ssim_improvement,75,0,,,,,
mask_robustness,outside_mask_region,ssim_improvement,75,0,,,,,
mask_robustness,mask_bbox_crop,ssim_improvement,75,75,0.09156421179016568,0.0690610958471255,0.07420924692469354,0.026084246039646097,0.3679899308836509
synthetic_degradation,full_image,ssim_improvement,50,50,-0.025699380936350113,-0.005751623584690613,0.04200742606738344,-0.17029065016130074,0.0
synthetic_degradation,content_region,ssim_improvement,50,50,-0.034509526357995916,-0.0075250707012867735,0.055955703852451036,-0.21448177755853048,0.0
synthetic_degradation,masked_region,ssim_improvement,50,0,,,,,
synthetic_degradation,boundary_region,ssim_improvement,50,0,,,,,
synthetic_degradation,outside_mask_region,ssim_improvement,50,0,,,,,
synthetic_degradation,mask_bbox_crop,ssim_improvement,50,50,-0.05402232806605636,-0.01299980063117423,0.06997443976372206,-0.24070206825559293,0.0
canonical,full_image,restored_mse,250,250,28.34282079207897,8.101871013641357,45.798802252393045,0.0,283.7635803222656
canonical,content_region,restored_mse,250,250,36.50633180463314,10.867059707641602,57.65848790022323,0.0,353.20977783203125
canonical,masked_region,restored_mse,200,200,512.3575499486923,361.7354278564453,504.12665250175775,14.05239486694336,3153.079833984375
canonical,boundary_region,restored_mse,200,200,80.06312318563461,64.7607192993164,59.90382005371902,2.99835205078125,359.4127502441406
canonical,outside_mask_region,restored_mse,200,200,0.0,0.0,0.0,0.0,0.0
canonical,mask_bbox_crop,restored_mse,200,200,136.99098264589907,28.61838722229004,256.8922135669508,0.4560200273990631,1663.3531494140625
damage_size,full_image,restored_mse,35,35,42.038517305680685,37.88312530517578,37.924792595920145,0.48551657795906067,181.64654541015625
damage_size,content_region,restored_mse,35,35,56.21407633849552,53.176414489746094,50.82659813548687,0.7048709392547607,247.3485565185547
damage_size,masked_region,restored_mse,35,35,604.781534576416,529.7314453125,537.8552998931136,35.1502799987793,3085.528076171875
damage_size,boundary_region,restored_mse,35,35,45.06720886230469,44.04655075073242,28.40304897319635,6.404355049133301,138.43031311035156
damage_size,outside_mask_region,restored_mse,35,35,0.0,0.0,0.0,0.0,0.0
damage_size,mask_bbox_crop,restored_mse,35,35,316.11095194135396,274.3038330078125,249.21376095193688,17.61622428894043,1356.86474609375
mask_robustness,full_image,restored_mse,75,75,28.216791990598043,11.483832359313965,42.65902696899374,0.5172023177146912,223.97265625
mask_robustness,content_region,restored_mse,75,75,37.57745960553487,14.053581237792969,55.98097324651749,0.5991121530532837,304.98406982421875
mask_robustness,masked_region,restored_mse,75,75,433.5947369639079,321.0617980957031,452.173685534339,29.94878578186035,2434.970458984375
mask_robustness,boundary_region,restored_mse,75,75,73.6468389193217,53.15163040161133,114.57811248957644,6.097769260406494,965.0728759765625
mask_robustness,outside_mask_region,restored_mse,75,75,0.0,0.0,0.0,0.0,0.0
mask_robustness,mask_bbox_crop,restored_mse,75,75,147.20127878506977,23.50346565246582,253.1087856085192,0.9728909730911255,1363.50390625
synthetic_degradation,full_image,restored_mse,50,50,115.75931661993265,9.628579139709473,305.1772397836151,0.16661354899406433,1839.2647705078125
synthetic_degradation,content_region,restored_mse,50,50,149.49391592085362,13.195347309112549,372.18894181134414,0.19300030171871185,2130.55126953125
synthetic_degradation,masked_region,restored_mse,50,50,245.35844166278838,59.35712242126465,432.2430603731735,0.5475715398788452,2281.30517578125
synthetic_degradation,boundary_region,restored_mse,50,50,7.797617728188634,0.5245304852724075,16.040703246780417,0.0,87.91790771484375
